"04495: Tid brukt til ulike medier en gjennomsnittsdag (minutter), etter medietype, statistikkvariabel og år"

"medietype";"Minutter brukt til ulike medier en gjennomsnittsdag 2020";"Minutter brukt til ulike medier en gjennomsnittsdag 2021";"Minutter brukt til ulike medier en gjennomsnittsdag 2022";"Minutter brukt til ulike medier en gjennomsnittsdag 2023"
"Papiravis";10;8;10;9
"TV";..;57;..;74
"Radio";..;59;53;52
"Lydmedier";61;64;75;76
"Bøker";13;12;17;17
"Tidsskrift";1;1;..;..
"Videomedier";56;58;83;81
"Internett";202;218;239;249
"Digitale spill";30;32;..;31
"Videoklipp";.;.;.;42
"Ukeblad";2;1;..;..
"Tegneserieblad";1;1;..;..
"Hjemme-PC";..;..;..;..
